#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     DATA_TYPE                       EHSP>EESA High Electron Omnidirectional Fluxes
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     WIND>Wind Interplanetary Plasma Laboratory
#     LOGICAL_SOURCE_DESCRIPTION      Electron omnidirectional fluxes 100 eV-30 keV, often at 24 sec, EESA High, Wind                        
#                                      3DP                                                                                                   
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     TEXT                            Wind 3dp, EESA HIGH electron omni directional energy spectra
#                                     Note per Lynn Wilson Jan 2015 wrt time resolution: 24 sec timing changes and                           
#                                      is not necessarily constant, depending on the mode that the instrument happens                        
#                                      to be in.  Not only does the period/interval between each point change, the                           
#                                      duration over which the data were taken can change as well.                                           
#     PI_NAME                         R. Lin/S. Bale
#     PI_AFFILIATION                  UC Berkeley
#     INSTRUMENT_TYPE                 Particles (space)
#     DATA_VERSION                    1
#     DESCRIPTOR                      3DP>3-D PLASMA ANALYZER
#     GENERATION_DATE                 
#     ACKNOWLEDGEMENT                 
#     ADID_REF                        NSSD0143
#     RULES_OF_USE                    
#     GENERATED_BY                    
#     MODS                            
#     TIME_RESOLUTION                 
#     LINK_TEXT                       
#                                     Wind 3DP
#     LINK_TITLE                      Caveats for the correct use of Wind 3DP datasets
#                                     home page at UCB (with plotting and digital data)
#     HTTP_LINK                       https://spdf.gsfc.nasa.gov/pub/data/wind/3dp/wind3dp_caveats.pdf
#                                     http://sprg.ssl.berkeley.edu/wind3dp/
#     LOGICAL_SOURCE                  wi_ehsp_3dp
#     LOGICAL_FILE_ID                 wi_ehsp_3dp_00000000_v01
#     ALT_LOGICAL_SOURCE              Wind_3DP_electron_omnifluxes_cdf
#     MISSION_GROUP                   Wind
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/Wind/3DP/EESA_HIGH/SP/PT24S
#     CDAWEB_PARENTS                  wi_ehsp_3dp_00000000_v01
#                                     wi_ehsp_3dp_20020425_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, Centered
#  2. ---> As stacked plot
#  3. ---> Time-varying electron energies for 15 channels
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,ELECTRON_NO_FLUX_#/cm2-ster-sec-eV,CH1_OFTEN~27660EV_eV,CH2_OFTEN~18940EV_eV,CH3_OFTEN~12970EV_eV,CH4_OFTEN~8875EV_eV,CH5_OFTEN~6076EV_eV,CH6_OFTEN~4161EV_eV,CH7_OFTEN~2849EV_eV,CH8_OFTEN~1952EV_eV,CH9_OFTEN~1339EV_eV,CH10_OFTEN~920.3EV_eV,CH11_OFTEN~634.4EV_eV,CH12_OFTEN~432.7EV_eV,CH13_OFTEN~292.0EV_eV,CH14_OFTEN~200.1EV_eV,CH15_OFTEN~136.8EV_eV
2002-04-25T05:00:36.602Z,0.0939638,0.149978,0.292668,0.484370,0.838268,2.09624,5.69404,18.2126,65.3262,282.965,1149.17,4940.23,11687.3,25001.8,50108.1,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:02:16.598Z,0.115101,0.147089,0.236685,0.453537,0.916007,1.99379,5.41098,17.7877,66.1176,278.959,1151.50,4841.39,11389.4,24190.9,48664.0,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:03:56.594Z,0.0946927,0.156516,0.261122,0.481125,0.893254,2.06163,5.66169,17.2566,65.1197,276.155,1123.02,4786.87,11182.4,23910.8,48448.4,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:05:36.591Z,0.0825100,0.147698,0.265565,0.490212,0.923592,2.07409,5.45142,18.4487,65.5327,277.557,1127.09,4872.07,11687.3,24987.1,50366.7,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:07:16.587Z,0.0892782,0.130212,0.253791,0.433415,0.837319,2.05332,5.49590,18.0237,64.3971,275.153,1128.83,4769.82,11288.4,24190.9,49073.5,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:08:56.584Z,0.0808440,0.141312,0.243128,0.473660,0.781385,2.02979,5.63339,17.4336,64.2939,272.950,1126.51,4780.05,11434.9,24515.3,49720.1,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:10:36.580Z,0.0994825,0.135382,0.258234,0.408100,0.875241,2.04086,5.37054,17.6342,64.4316,265.538,1084.66,4636.91,11197.5,24058.2,48836.4,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:12:16.576Z,0.0952133,0.148002,0.230243,0.470090,0.922644,1.85674,5.22901,17.4572,60.8530,243.905,985.860,4282.48,10318.9,22583.9,46767.2,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:13:56.573Z,0.0852173,0.150130,0.283337,0.416214,0.923592,2.03948,5.65765,17.1621,62.5735,250.916,999.227,4224.54,10127.1,21758.3,44805.8,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:15:36.569Z,0.0837595,0.147393,0.248904,0.468792,0.916956,1.97718,5.44737,17.4808,61.9885,254.922,1013.18,4216.02,10021.0,21743.5,45021.4,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
2002-04-25T05:17:16.566Z,0.0806358,0.136598,0.232020,0.433415,0.813618,2.01456,5.35032,17.5398,62.6423,253.720,1016.08,4229.65,10172.5,22185.8,45538.6,27662.7,18944.4,12965.8,8874.88,6076.48,4161.27,2849.21,1952.32,1339.37,920.296,634.385,432.730,292.064,200.056,136.845
