#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     DATA_TYPE                       ELSP>EESA Low Electron OMNI Spectra
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     WIND>Wind Interplanetary Plasma Laboratory
#     LOGICAL_SOURCE_DESCRIPTION      Electron omnidirectional fluxes 5-1100 eV, often at 24 sec, EESA Low, Wind 3DP
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     TEXT                            Wind 3dp, EESA Low omni directional electron energy spectra
#     PI_NAME                         R. Lin/S. Bale
#     PI_AFFILIATION                  UC Berkeley
#     INSTRUMENT_TYPE                 Particles (space)
#     DATA_VERSION                    1
#     DESCRIPTOR                      3DP>3-D PLASMA ANALYZER
#     GENERATION_DATE                 
#     ACKNOWLEDGEMENT                 
#     ADID_REF                        NSSD0143
#     RULES_OF_USE                    
#     GENERATED_BY                    
#     MODS                            
#     TIME_RESOLUTION                 
#     LINK_TEXT                       
#                                     Wind 3DP
#     LINK_TITLE                      Caveats for the correct use of Wind 3DP datasets
#                                     home page at UCB (with plotting and digital data)
#     HTTP_LINK                       https://spdf.gsfc.nasa.gov/pub/data/wind/3dp/wind3dp_caveats.pdf
#                                     http://sprg.ssl.berkeley.edu/wind3dp/
#     LOGICAL_SOURCE                  wi_elsp_3dp
#     LOGICAL_FILE_ID                 wi_elsp_3dp_00000000_v01
#     ALT_LOGICAL_SOURCE              Wind_3DP_Electron-Omnidirectional-Fluxes-ELSP_100sec_cdf
#     MISSION_GROUP                   Wind
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/Wind/3DP/EESA/ElectronSpectra/PT100S
#     CDAWEB_PARENTS                  wi_elsp_3dp_00000000_v01
#                                     wi_elsp_3dp_20020425_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, Centered
#  2. ---> As stacked plot
#  3. Time-varying electron energies in 15 channels (center of 40% wide energy band)
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,ELECTRON_FLUX_#/cm2-ster-sec-eV,CH1_OFTEN~1113EV_eV,CH2_OFTEN~669.2EV_eV,CH3_OFTEN~426.8EV_eV,CH4_OFTEN~264.8EV_eV,CH5_OFTEN~165EV_eV,CH6_OFTEN~103.3EV_eV,CH7_OFTEN~65.25EV_eV,CH8_OFTEN~41.8EV_eV,CH9_OFTEN~27.25EV_eV,CH10_OFTEN~18.3EV_eV,CH11_OFTEN~12.8EV_eV,CH12_OFTEN~9.4EV_eV,CH13_OFTEN~7.25EV_eV,CH14_OFTEN~5.9EV_eV,CH15_OFTEN~5.2EV_eV
2002-04-25T05:00:38.164Z,185.034,1085.37,5070.42,16443.6,41604.3,92781.2,223340.,800959.,2.35084e+06,4.31132e+06,5.66776e+06,1.34699e+07,3.72279e+07,7.40545e+07,9.65548e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
2002-04-25T05:02:18.161Z,176.566,1139.63,5083.49,16377.7,41138.2,92413.5,221452.,785594.,2.33455e+06,4.26570e+06,5.58196e+06,1.36780e+07,3.70789e+07,7.34824e+07,9.61103e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
2002-04-25T05:03:58.157Z,192.528,1095.43,5191.73,16565.2,41705.1,92106.2,222189.,788825.,2.32336e+06,4.27040e+06,5.55766e+06,1.37297e+07,3.72112e+07,7.39475e+07,9.60040e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
2002-04-25T05:05:38.153Z,187.341,1115.54,5158.15,16845.7,41386.0,92687.7,221499.,783035.,2.30290e+06,4.24112e+06,5.58130e+06,1.38081e+07,3.76573e+07,7.35060e+07,9.59077e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
2002-04-25T05:07:18.150Z,191.981,1114.71,5135.00,16142.7,41363.8,93250.0,219553.,789884.,2.34594e+06,4.33077e+06,5.60832e+06,1.35419e+07,3.71688e+07,7.38134e+07,9.59172e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
2002-04-25T05:08:58.146Z,177.775,1084.94,5053.85,16321.5,41496.7,92127.9,219528.,776411.,2.30167e+06,4.22541e+06,5.52527e+06,1.38877e+07,3.73995e+07,7.43212e+07,9.58990e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
2002-04-25T05:10:38.143Z,176.653,1084.93,5036.96,16796.2,41840.4,93240.3,221758.,763345.,2.22505e+06,4.08324e+06,5.37739e+06,1.44033e+07,3.80161e+07,7.44404e+07,9.52292e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
2002-04-25T05:12:18.139Z,170.268,1068.99,5157.01,16565.6,42163.8,95730.6,226380.,803193.,2.35376e+06,4.22146e+06,5.39024e+06,1.39007e+07,3.78042e+07,7.37666e+07,9.56429e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
2002-04-25T05:13:58.135Z,176.202,1055.65,5184.38,16654.5,42280.0,95290.8,220174.,761973.,2.21958e+06,4.04044e+06,5.25418e+06,1.47529e+07,3.83297e+07,7.36225e+07,9.59552e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
2002-04-25T05:15:38.132Z,183.860,1080.43,4939.35,16253.5,40937.7,92380.6,218854.,787028.,2.35405e+06,4.32588e+06,5.64836e+06,1.35651e+07,3.73543e+07,7.44727e+07,9.59662e+07,1112.99,689.161,426.769,264.837,164.957,103.320,65.2431,41.7663,27.2489,18.2895,12.8144,9.41315,7.25627,5.92896,5.18234
